uniqueid,game,firstPlayer,choice1,choice2,phase,rating
30,pd0,column,A,A,rangeProb1,85
30,coordination0,row,A,A,rangeProb1,81
30,coordination1,column,B,A,rangeProb1,84
31,threat3,row,B,B,rangeProb1,29
31,threat0,row,A,A,rangeProb1,67
31,threat1,row,A,B,rangeProb1,55
31,coordination1,column,B,A,rangeProb1,51
31,coordination0,column,A,A,rangeProb1,54
31,singleControl1,column,B,A,rangeProb1,27
31,singleControl0,row,A,A,rangeProb1,71
31,pd0,row,A,A,rangeProb1,71
31,pd3,row,B,B,rangeProb1,36
31,disjunctive0,column,A,A,rangeProb1,86
31,disjunctive3,row,B,B,rangeProb1,43
32,disjunctive0,row,A,A,rangeProb1,100
32,disjunctive3,row,B,B,rangeProb1,8
32,pd3,column,B,B,rangeProb1,16
32,pd0,row,A,A,rangeProb1,96
32,coordination0,column,A,A,rangeProb1,83
32,coordination1,column,B,A,rangeProb1,81
32,singleControl0,column,A,A,rangeProb1,99
32,singleControl1,column,B,A,rangeProb1,7
32,threat1,row,A,B,rangeProb1,97
32,threat0,row,A,A,rangeProb1,80
32,threat3,column,B,B,rangeProb1,57
33,pd3,column,B,B,rangeProb1,39
33,pd0,row,A,A,rangeProb1,73
33,singleControl0,row,A,A,rangeProb1,70
33,singleControl1,column,B,A,rangeProb1,29
33,coordination0,column,A,A,rangeProb1,66
33,coordination1,column,B,A,rangeProb1,50
33,threat1,column,B,A,rangeProb1,38
33,threat3,column,B,B,rangeProb1,46
33,threat0,column,A,A,rangeProb1,87
33,disjunctive3,column,B,B,rangeProb1,49
33,disjunctive0,row,A,A,rangeProb1,88
34,coordination0,column,A,A,rangeProb1,57
34,coordination1,row,A,B,rangeProb1,56
34,singleControl1,row,A,B,rangeProb1,53
34,singleControl0,column,A,A,rangeProb1,55
34,threat3,column,B,B,rangeProb1,53
34,threat0,column,A,A,rangeProb1,55
34,threat1,row,A,B,rangeProb1,58
34,disjunctive0,column,A,A,rangeProb1,54
34,disjunctive3,column,B,B,rangeProb1,56
34,pd0,row,A,A,rangeProb1,55
34,pd3,row,B,B,rangeProb1,59
35,singleControl0,column,A,A,rangeProb1,72
35,singleControl1,row,A,B,rangeProb1,80
35,coordination1,column,B,A,rangeProb1,50
35,coordination0,row,A,A,rangeProb1,79
35,disjunctive3,column,B,B,rangeProb1,68
35,disjunctive0,row,A,A,rangeProb1,100
35,threat3,row,B,B,rangeProb1,0
35,threat0,row,A,A,rangeProb1,24
35,threat1,row,A,B,rangeProb1,46
35,pd3,column,B,B,rangeProb1,40
35,pd0,row,A,A,rangeProb1,75
36,coordination1,row,A,B,rangeProb1,51
